r0,r1,99H,100L,99to100,200H,201L,200to201,297H,298L,297to298,299H,300L,299to300
0,0.25,0.198542823,0.250005503,0.229463261,0.359007257,0.359457898,0.001254454,0.424487634,0.42465531,0.000394931,0.42540607,0.425481385,0.000177028
0.4,0.45,0.123027199,0.123652881,0.00507282,0.174104297,0.174320429,0.001240625,0.22293855,0.223152018,0.000957062,0.223671037,0.223705524,0.000154177
0.5,0.2,0.119275421,0.119108011,0,0.169995504,0.175041048,0.029246434,0.212015897,0.211810961,0,0.212436693,0.212465491,0.000135554
0.25,0.5,0.133168795,0.142883085,0.070380172,0.19846094,0.19845712,0,0.237213972,0.237335421,0.00051185,0.237920609,0.23795173,0.000130795
0.1,0.3,0.177109437,0.219247232,0.212625636,0.305080677,0.304966854,0,0.359091949,0.359242063,0.000417952,0.360168476,0.360199231,8.54E-05
0.5,0.25,0.11830947,0.118146114,0,0.168435667,0.170131728,0.010019046,0.209786833,0.209613101,0,0.210300669,0.210316515,7.54E-05
0.5,0.15,0.120057423,0.119952448,0,0.170593495,0.179795218,0.052522937,0.21366379,0.213616945,0,0.214320068,0.214335118,7.02E-05
0.3,0,0.165859508,0.165704607,0,0.213289511,0.286759537,0.29385128,0.332797147,0.332813378,4.88E-05,0.33337888,0.333360282,0
0.3,0.05,0.165461025,0.165253622,0,0.213191886,0.283969412,0.284726613,0.331310777,0.3312897,0,0.331969972,0.331615545,0
0.25,0.05,0.184261304,0.183995628,0,0.233971385,0.306795021,0.269334912,0.377289174,0.377497795,0.000552794,0.378302918,0.378274548,0
0.35,0,0.151129744,0.151010887,0,0.198379773,0.257909193,0.2609286,0.2933262,0.293068198,0,0.293738911,0.293643572,0
0.35,0.05,0.150823453,0.150655279,0,0.198283477,0.256026243,0.254200002,0.292466698,0.2920655,0,0.292811615,0.29276685,0
0.3,0.1,0.164079445,0.163982025,0,0.212831374,0.270615497,0.239050562,0.324873277,0.324695316,0,0.325368493,0.325288338,0
0.35,0.1,0.149788377,0.149643462,0,0.19794417,0.24814163,0.225057422,0.288547459,0.288461802,0,0.289157351,0.289131704,0
0.25,0.1,0.182317536,0.182334159,9.12E-05,0.233508929,0.287540722,0.207395947,0.363257002,0.363208091,0,0.364436282,0.36425646,0
0.4,0,0.139256943,0.139133256,0,0.187210456,0.22998523,0.205058565,0.261499769,0.261387234,0,0.262087439,0.262007653,0
0.4,0.05,0.139014867,0.138865824,0,0.187106054,0.22882161,0.200590437,0.260850079,0.260778151,0,0.261473771,0.26132455,0
0.4,0.15,0.137132885,0.137104978,0,0.18612292,0.214426483,0.141323705,0.255188889,0.255039294,0,0.255639731,0.255614853,0
0.45,0,0.129359029,0.129228164,0,0.178432799,0.205129033,0.139201725,0.236085732,0.235999908,0,0.236597367,0.236467941,0
0.45,0.05,0.129212555,0.129073725,0,0.178340743,0.204549912,0.136901586,0.235784992,0.235618062,0,0.236254883,0.23612654,0
0.45,0.1,0.128739055,0.12860848,0,0.17806699,0.202202651,0.126939722,0.234575421,0.234425235,0,0.235089191,0.234933045,0
0.45,0.15,0.127902803,0.127861222,0,0.177642386,0.196601712,0.10132064,0.232458634,0.232258925,0,0.232927067,0.232806159,0
0.4,0.2,0.135502214,0.135633486,0.00096831,0.185277629,0.200589439,0.079363131,0.250521485,0.250576458,0.000219413,0.251148576,0.251050787,0
0.5,0,0.12103227,0.120882103,0,0.171174397,0.184214186,0.073383273,0.215795348,0.215831752,0.000168682,0.216452819,0.216344967,0
0.5,0.05,0.120947555,0.120787983,0,0.171127948,0.183918679,0.072050993,0.215608087,0.215644744,0.000170002,0.216258032,0.216148683,0
0.5,0.1,0.120630346,0.120494756,0,0.170947882,0.18271429,0.066540386,0.214963081,0.214999687,0.000170273,0.215639855,0.215502375,0
0.45,0.25,0.125282157,0.125380925,0.000788049,0.1760269,0.179073919,0.017161432,0.226121784,0.226258748,0.000605525,0.226894464,0.226762523,0
0.5,0.3,0.117077302,0.117090978,0.000116807,0.16654371,0.167956142,0.008445037,0.207638446,0.207342623,0,0.20814892,0.207987541,0
0.45,0.3,0.12347727,0.123749912,0.002205604,0.174015571,0.175424049,0.008061355,0.222984528,0.222891923,0,0.223602401,0.223545642,0
0.05,0.25,0.197896315,0.244104051,0.209084603,0.351090177,0.351848974,0.002158925,0.419905774,0.419728323,0,0.420700934,0.42068834,0
0.5,0.4,0.114113333,0.114385781,0.002384679,0.162585514,0.162885872,0.001845681,0.202698473,0.202530072,0,0.203317547,0.203096415,0
0.1,0.25,0.195801679,0.226305569,0.144531465,0.323393115,0.3238824,0.001511829,0.392280481,0.393334414,0.00268308,0.395046368,0.394984077,0
0,0.15,0.261628889,0.271238657,0.036068131,0.396896207,0.397367847,0.001187614,0.503560095,0.504227265,0.001324028,0.506043236,0.5050864,0
0.05,0.3,0.178616616,0.235648535,0.275340172,0.32357205,0.323940196,0.001137108,0.369180912,0.369492992,0.000844975,0.37042602,0.370086389,0
0.45,0.4,0.119530773,0.119999145,0.003910757,0.16958707,0.169738686,0.000893632,0.215765535,0.215768997,1.60E-05,0.216305211,0.216235526,0
0,0.2,0.225108222,0.259274046,0.141069675,0.380045973,0.380283321,0.00062433,0.478122397,0.478729367,0.001268682,0.480096203,0.480027024,0
0.5,0.35,0.115597099,0.115796682,0.001725051,0.164936712,0.165031241,0.000572955,0.20524376,0.20503636,0,0.205845738,0.205514831,0
0.5,0.5,0.111098087,0.111516517,0.003759236,0.158801004,0.158872276,0.000448716,0.196807468,0.196569028,0,0.197428684,0.19741064,0
0,0.3,0.179099943,0.241013914,0.294748527,0.328439881,0.328571814,0.000401617,0.371542989,0.371636853,0.000252602,0.372682891,0.372476176,0
0.5,0.45,0.11256578,0.112944041,0.003354715,0.160641711,0.160676538,0.000216775,0.20002085,0.199800438,0,0.200506899,0.200433145,0
0,0.35,0.164652464,0.229916195,0.330810519,0.296712739,0.296539189,0,0.33040148,0.330163213,0,0.332178826,0.33206352,0
0,0,0.338450139,0.31277177,0,0.463611023,0.4404316,0,0.576142162,0.549399214,0,0.569574116,0.548637825,0
0,0.05,0.322731795,0.316908621,0,0.456494043,0.450434229,0,0.556225123,0.550491404,0,0.557519956,0.552042019,0
0.05,0,0.318552547,0.312141671,0,0.448171074,0.441989733,0,0.545210731,0.541528311,0,0.547003997,0.542897356,0
0.05,0.05,0.313540198,0.307969035,0,0.441514177,0.435882118,0,0.536514413,0.532776916,0,0.537816106,0.534684096,0
0.05,0.1,0.292455913,0.292276043,0,0.414800431,0.414663609,0,0.503368595,0.503284034,0,0.505148881,0.505146991,0
