,rad0,rad1,rad0_n,rad1_n,N0,mean,med,std,min,max,N0,mean,med,std,min,max,N0,mean,med,std,min,max
twospecies53,0.0269758,0.023663,1,0.877193633,100,0.088514258,0.089840132,0.008020616,0.06278329,0.101823882,200,0.060781876,0.061490494,0.004806558,0.048024016,0.073405828,300,0.051306055,0.050838435,0.001911799,0.048024016,0.065530612
twospecies54,0.0272853,0.0235218,1,0.862068586,100,0.090220024,0.091245965,0.007702758,0.069993482,0.106271094,200,0.060939091,0.061377346,0.00490979,0.047275389,0.077836493,300,0.051305226,0.050965365,0.001699612,0.047275389,0.066814483
twospecies55,0.0275309,0.0233313,1,0.847458674,100,0.087339866,0.089635689,0.01093486,0.060695717,0.107068891,200,0.061237431,0.061028965,0.004341382,0.04921021,0.084089802,300,0.051571908,0.05107553,0.001806125,0.04921021,0.067878356
twospecies56,0.0278062,0.0231718,1,0.833332135,100,0.086620359,0.088037498,0.010077824,0.055873988,0.115752323,200,0.060873963,0.06083988,0.005123569,0.047824436,0.073715785,300,0.051548494,0.051161248,0.001732071,0.047824436,0.064645414
twospecies57,0.0280757,0.0230129,1,0.819673241,100,0.091048786,0.091981507,0.007533317,0.072472273,0.1036104,200,0.060379522,0.060454129,0.005067396,0.049534261,0.074449943,300,0.051780366,0.051314719,0.001667833,0.049534261,0.064290594
twospecies58,0.0283305,0.0228471,1,0.80644888,100,0.088937579,0.088739633,0.007544647,0.073579449,0.104934044,200,0.061038773,0.060913797,0.005400812,0.047430912,0.077750598,300,0.051773573,0.051356358,0.001849907,0.047430912,0.068287417
twospecies59,0.028592,0.022692,1,0.793648573,100,0.088992112,0.08886138,0.008236852,0.059335976,0.104228951,200,0.059155723,0.058748874,0.005346455,0.046174249,0.080820968,300,0.051770472,0.051429582,0.001671795,0.046174249,0.061166264
twospecies60,0.0288351,0.0225274,1,0.781249241,100,0.087941233,0.088049894,0.008380212,0.067508917,0.104729202,200,0.060114847,0.06043257,0.004819298,0.045421604,0.073952972,300,0.05186566,0.051570161,0.001618815,0.045421604,0.066774685
twospecies61,0.0290808,0.0223699,1,0.769232621,100,0.086094891,0.090188041,0.012732569,0.058779421,0.103600786,200,0.059626211,0.060506918,0.005631963,0.046526559,0.083974241,300,0.051787293,0.05163197,0.001496181,0.046526559,0.061725592
twospecies62,0.0293207,0.0222126,1,0.757574001,100,0.087806709,0.088485957,0.009635946,0.062310496,0.105376297,200,0.05931602,0.059970569,0.006277058,0.044828927,0.07927817,300,0.051810337,0.051706239,0.001883299,0.044828927,0.061412233
twospecies63,0.0295598,0.0220596,1,0.746270272,100,0.087957391,0.089210882,0.008618371,0.059791476,0.101344393,200,0.059651653,0.059707558,0.004844284,0.046234774,0.079120178,300,0.052064891,0.051795604,0.001608873,0.046234774,0.068482138
twospecies64,0.0297852,0.0219009,1,0.73529471,100,0.089294897,0.089056046,0.008657747,0.068470019,0.110814539,200,0.060447059,0.060908498,0.004752424,0.046115941,0.076532769,300,0.052060919,0.051822293,0.001296721,0.046115941,0.06198808
twospecies65,0.0300137,0.021749,1,0.72463575,100,0.087309266,0.08918575,0.0112639,0.060184264,0.10582882,200,0.059040456,0.059461112,0.005869104,0.043879564,0.087761653,300,0.051929306,0.051878762,0.001298897,0.043879564,0.06095722
twospecies66,0.0302308,0.0215934,1,0.714284769,100,0.088217768,0.090199974,0.008054156,0.070615456,0.107676488,200,0.060347252,0.060983,0.005455974,0.046475559,0.075727974,300,0.052153745,0.052008277,0.001314469,0.046475559,0.060894388
twospecies67,0.0304547,0.021447,1,0.704226277,100,0.085242416,0.086932832,0.011626855,0.061092346,0.104404054,200,0.058800622,0.058194942,0.005672291,0.045101696,0.077715089,300,0.052209879,0.052075618,0.001519354,0.045101696,0.064408303
twospecies68,0.0306601,0.0212917,1,0.694443267,100,0.089150575,0.089883453,0.009812157,0.062189092,0.106346157,200,0.059618807,0.05940796,0.005301563,0.047222464,0.079520902,300,0.052324479,0.052114585,0.001165558,0.047222464,0.058776863
twospecies69,0.0308687,0.021143,1,0.684933282,100,0.086468976,0.086148394,0.009590509,0.063042131,0.110024572,200,0.059304162,0.059605384,0.005076448,0.044016299,0.075576293,300,0.052448993,0.052188451,0.001786136,0.044016299,0.063161211
twospecies70,0.0310689,0.0209925,1,0.675675676,100,0.088095212,0.087702158,0.00801125,0.067995311,0.103629375,200,0.059370142,0.059683366,0.004971201,0.047660482,0.075582864,300,0.052366872,0.052247007,0.001372715,0.047660482,0.068475157
twospecies71,0.0312652,0.0208435,1,0.666667733,100,0.087396709,0.087209638,0.00896353,0.063843555,0.103690443,200,0.058741264,0.058528986,0.005923006,0.046589696,0.079378742,300,0.052163695,0.052236498,0.001135675,0.046589696,0.058516302
twospecies72,0.0314656,0.020701,1,0.657893064,100,0.088667715,0.09034898,0.010127126,0.066349967,0.106969289,200,0.058945825,0.058724613,0.005854972,0.043138499,0.084208565,300,0.0523485,0.052341181,0.001628566,0.043138499,0.060889951
twospecies73,0.0316527,0.0205537,1,0.649350608,100,0.089125158,0.090986806,0.009032463,0.063563615,0.10709192,200,0.05932326,0.059594619,0.00514948,0.041484249,0.07686246,300,0.052496401,0.052355765,0.001910827,0.041484249,0.065833114
twospecies74,0.0318384,0.0204092,1,0.641024675,100,0.084631873,0.0859034,0.011670378,0.063797146,0.105403308,200,0.058874015,0.058877045,0.005142019,0.04696881,0.07344116,300,0.052502127,0.052379913,0.001179784,0.04696881,0.060095525
twospecies75,0.032018,0.0202646,1,0.632912737,100,0.087073495,0.088149642,0.010667553,0.064090219,0.106142717,200,0.059109573,0.059455854,0.005671169,0.043677855,0.077687891,300,0.052488641,0.052420572,0.001701477,0.043677855,0.063171517
twospecies76,0.0322302,0.0201439,1,0.625000776,100,0.088512305,0.088063335,0.00947764,0.068920783,0.105447575,199,0.060125636,0.060125448,0.005145202,0.04950875,0.073818016,299,0.052640976,0.052515302,0.001017814,0.04950875,0.063632959
twospecies77,0.032378,0.0199864,1,0.617283341,100,0.08680977,0.090026496,0.010823003,0.065571631,0.105108804,200,0.058863105,0.059640653,0.00548612,0.041072788,0.07435189,300,0.052490261,0.052489833,0.001690824,0.041072788,0.061908689
twospecies78,0.0325428,0.0198432,1,0.609756997,100,0.087757999,0.089041164,0.010436474,0.065144493,0.120685323,200,0.059004482,0.059150119,0.005133073,0.045923227,0.077471176,300,0.052666215,0.052534643,0.001532625,0.045923227,0.06216033
twospecies79,0.0327082,0.0197037,1,0.60240857,100,0.089485016,0.089985136,0.008619276,0.068736137,0.111410139,200,0.058174577,0.058226747,0.006434707,0.040425095,0.079799897,300,0.052440702,0.052570285,0.002504916,0.040425095,0.066915926
twospecies80,0.032877,0.0195696,1,0.595236792,100,0.08730217,0.088332674,0.010089017,0.066618329,0.105207375,200,0.057326794,0.057954821,0.006516569,0.039772264,0.070523676,300,0.052356023,0.052591736,0.002938424,0.039772264,0.06839514
twospecies81,0.0330669,0.0194511,1,0.58823476,100,0.087773079,0.087462192,0.010117502,0.066239776,0.109021188,199,0.058112032,0.058458812,0.006141728,0.040787179,0.070471804,299,0.0524142,0.052662583,0.002443658,0.040787179,0.07213519
twospecies82,0.0332245,0.0193165,1,0.581393249,100,0.087431422,0.090181176,0.010274264,0.066545943,0.123238283,199,0.058066647,0.058388968,0.005791449,0.038644555,0.076895567,299,0.052606404,0.052688968,0.001888046,0.038644555,0.05964265
twospecies83,0.0333483,0.0191657,1,0.574712954,100,0.088159893,0.088937567,0.008717879,0.0717477,0.107360701,200,0.058515708,0.058506759,0.005509557,0.041405065,0.074012678,300,0.052759875,0.052639725,0.001734712,0.041405065,0.062197415
twospecies84,0.033539,0.0190563,1,0.568183309,100,0.08690605,0.088402149,0.010534927,0.067140068,0.108693788,199,0.057277646,0.05797496,0.006306957,0.038851759,0.070476951,299,0.052389308,0.052711714,0.002571535,0.038851759,0.061728006
twospecies85,0.0336432,0.0189007,1,0.561798521,100,0.087202164,0.086439783,0.009063998,0.068599975,0.105885905,200,0.058717158,0.058870066,0.005731542,0.042833369,0.072996034,300,0.052680771,0.052684213,0.00173138,0.042833369,0.061507536
twospecies86,0.0337917,0.0187732,1,0.555556542,100,0.088085019,0.087668202,0.009764814,0.071396363,0.106611684,200,0.058077072,0.058420057,0.006384801,0.039544331,0.070981226,300,0.052474383,0.052705895,0.002530144,0.039544331,0.062045945
twospecies87,0.0339301,0.0186429,1,0.549450193,100,0.089775715,0.089331732,0.007354356,0.067917972,0.107757582,200,0.058286612,0.05815187,0.006172906,0.04011988,0.073788568,300,0.05253499,0.052697686,0.002104308,0.04011988,0.063701997
twospecies88,0.0340685,0.0185155,1,0.54347858,100,0.089085158,0.088816624,0.008380481,0.068278981,0.111741619,200,0.058691977,0.059217614,0.00587925,0.037082688,0.075117233,300,0.052605788,0.052737689,0.002428648,0.037082688,0.064476668
twospecies89,0.0342175,0.0183965,1,0.537634251,100,0.087786495,0.090488006,0.011070952,0.068484415,0.106130642,200,0.057355561,0.057898588,0.00596605,0.03706298,0.073271024,300,0.052491496,0.052729866,0.002305792,0.03706298,0.064274027
twospecies90,0.034528,0.0183659,1,0.53191323,100,0.090685515,0.091207592,0.007023268,0.074806005,0.104233504,194,0.061012102,0.061273691,0.005339041,0.036774362,0.072514623,294,0.053245041,0.053054834,0.002096266,0.036774362,0.069437309
twospecies91,0.0345702,0.0181948,1,0.526314572,100,0.088920927,0.090587707,0.010146913,0.069664846,0.108706832,197,0.059974447,0.060691623,0.005850535,0.037362236,0.081242227,297,0.052873413,0.052910738,0.001879279,0.037362236,0.06454174
twospecies92,0.0345995,0.0180206,1,0.520834116,100,0.090499551,0.091264984,0.007453674,0.070673606,0.103699852,200,0.058653582,0.058740644,0.005189681,0.045150796,0.071054679,300,0.052767988,0.052755854,0.001895048,0.045150796,0.070673606
twospecies93,0.0347224,0.0178982,1,0.515465521,100,0.089158106,0.090765331,0.008957635,0.069605643,0.105310278,200,0.058748582,0.059491754,0.005779131,0.041313124,0.070550128,300,0.05278789,0.052763581,0.002106942,0.041313124,0.067685312
twospecies94,0.0348781,0.0177949,1,0.510202677,100,0.08919001,0.090091342,0.0083557,0.071444346,0.10523453,199,0.058335959,0.05847525,0.005563633,0.045727398,0.073751507,299,0.052722386,0.052804049,0.001366706,0.045727398,0.059568743
twospecies95,0.0349984,0.0176759,1,0.505048802,100,0.088443498,0.089637455,0.007936185,0.07074515,0.107838376,200,0.057672462,0.058176013,0.006734682,0.035448893,0.075920642,300,0.052496397,0.052794153,0.002832475,0.035448893,0.064207493
